FID_,NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,POINT_X,POINT_Y
,4080015400,101,관통교차로,0, ,korea,5, ,408,OEXT4080015400, ,183452.937700000010000,81821.367499999993000
,4080014500,101,신흥사거리,0, ,korea,5, ,408,OEXT4080014500, ,175116.010100000010000,81240.407600000006000
,4070001000,101,산양입구,0, ,korea,5, ,407,OEXT4070001000, ,132011.492399999990000,80696.474300000002000
,4080013400,101,한남삼거리,0, ,korea,5, ,408,OEXT4080013400, ,171437.410700000010000,79909.195600000006000
,4070000500,101,고산육거리,0, ,korea,5, ,407,OEXT4070000500, ,123604.928799999990000,78927.694699999993000
,4080012100,101,한지교차로,0, ,korea,5, ,408,OEXT4080012100, ,181961.341200000000000,79318.366299999994000
,4080011100,101,대성동,0, ,korea,5, ,408,OEXT4080011100, ,169869.371000000010000,77828.748300000007000
,4060010300,101,제2산록도로,0, ,korea,5, ,406,OEXT4060010300, ,158659.670699999990000,77710.847899999993000
,4080010900,101,서광사거리,0, ,korea,5, ,408,OEXT4080010900, ,137059.440800000010000,77459.500599999999000
,4080010300,101,무릉2리,0, ,korea,5, ,408,OEXT4080010300, ,127787.203200000000000,77236.375300000000000
,4080010000,101,신도3리,0, ,korea,5, ,408,OEXT4080010000, ,124238.339200000000000,77108.704800000007000
,4080009800,101,서광서리사거리,0, ,korea,5, ,408,OEXT4080009800, ,134960.589600000010000,77184.022100000002000
,4080009700,101,서광동리,0, ,korea,5, ,408,OEXT4080009700, ,137734.227000000010000,77196.334300000002000
,4080009600,101,서광서리사거리,0, ,korea,5, ,408,OEXT4080009600, ,134940.301199999990000,77167.412599999996000
,4080008800,101,상위미,0, ,korea,5, ,408,OEXT4080008800, ,167901.091500000010000,77285.081800000000000
,4080008000,101,하례입구,0, ,korea,5, ,408,OEXT4080008000, ,164617.297400000010000,76908.869699999996000
,4080007800,101,신례초등학교앞,0, ,korea,5, ,408,OEXT4080007800, ,165817.021100000010000,76865.524500000000000
,4080005900,101,무릉2리,0, ,korea,5, ,408,OEXT4080005900, ,129630.021299999990000,75793.259900000005000
,4080005000,101,구역리,0, ,korea,5, ,408,OEXT4080005000, ,132791.200900000000000,75545.339900000006000
,4080004000,101,위미입구,0, ,korea,5, ,408,OEXT4080004000, ,167148.904899999990000,75388.220000000001000
,4080003800,101,신평,0, ,korea,5, ,408,OEXT4080003800, ,130962.893400000000000,74872.386400000003000
,4060005800,101,색달동,0, ,korea,5, ,406,OEXT4060005800, ,145265.864600000000000,74434.486300000004000
,4080002800,101,영락교차로,0, ,korea,5, ,408,OEXT4080002800, ,126646.218500000000000,73726.418500000000000
,4080002500,101,화순삼거리,0, ,korea,5, ,408,OEXT4080002500, ,138694.084200000010000,73681.225600000005000
,4080002300,101,화순삼거리,0, ,korea,5, ,408,OEXT4080002300, ,138587.250200000010000,73493.244000000006000
,4060001800,101,동홍사거리,0, ,korea,5, ,406,OEXT4060001800, ,159714.407899999990000,73573.357399999994000
,4060001600,101,비석거리,0, ,korea,5, ,406,OEXT4060001600, ,160597.062600000000000,73582.308300000004000
,4080002100,101,덕수사거리,0, ,korea,5, ,408,OEXT4080002100, ,135119.964799999990000,73260.624800000005000
,4080002000,101,한전아파트,0, ,korea,5, ,408,OEXT4080002000, ,135533.229200000000000,73261.020399999994000
