FID_,NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,POINT_X,POINT_Y,x,y,X2,Y2
,4070017000,101,세화입구,0, ,korea,5, ,407,OEXT4070017000, ,187086.442000000010000,102744.093599999990000,187,103,126° 51' 39.598"" E,33° 31' 5.920"" N
,4070016900,101,하도입구,0, ,korea,5, ,407,OEXT4070016900, ,189078.088300000000000,102743.405799999990000,189,103,126° 52' 56.775"" E,33° 31' 5.978"" N
,4070016500,101,선흘리,0, ,korea,5, ,407,OEXT4070016500, ,172216.699499999990000,101982.935200000010000,172,102,126° 42' 3.485"" E,33° 30' 40.196"" N
,4070016300,101,창흥교차로,0, ,korea,5, ,407,OEXT4070016300, ,189537.224900000000000,101609.467999999990000,190,102,126° 53' 14.614"" E,33° 30' 29.190"" N
,4070015300,101,비자림입구,0, ,korea,5, ,407,OEXT4070015300, ,182543.976700000000000,100345.723000000000000,183,100,126° 48' 43.746"" E,33° 29' 47.843"" N
,4070015200,101,종달교차로,0, ,korea,5, ,407,OEXT4070015200, ,190071.363400000000000,100364.372700000010000,190,100,126° 53' 35.359"" E,33° 29' 48.795"" N
,4070015000,101,덕천입구,0, ,korea,5, ,407,OEXT4070015000, ,181981.538999999990000,100131.698399999990000,182,100,126° 48' 21.973"" E,33° 29' 40.863"" N
,4070014600,101,와산리,0, ,korea,5, ,407,OEXT4070014600, ,170472.598399999990000,99832.257800000007000,170,100,126° 40' 56.162"" E,33° 29' 30.223"" N
,4070014200,101,목선동,0, ,korea,5, ,407,OEXT4070014200, ,173818.561300000000000,99582.801600000006000,174,100,126° 43' 5.803"" E,33° 29' 22.440"" N
,4080023600,101,시흥교차로,0, ,korea,5, ,408,OEXT4080023600, ,190509.766000000000000,98714.493600000002000,191,99,126° 53' 52.406"" E,33° 28' 55.258"" N
,4070013600,101,송당입구,0, ,korea,5, ,407,OEXT4070013600, ,179836.163800000010000,98352.551300000006000,180,98,126° 46' 59.007"" E,33° 28' 42.978"" N
,4070013500,101,구엄초교앞,0, ,korea,5, ,407,OEXT4070013500, ,141796.325500000010000,97952.273199999996000,142,98,126° 22' 25.778"" E,33° 28' 24.975"" N
,4070013300,101,신엄,0, ,korea,5, ,407,OEXT4070013300, ,141086.487400000010000,97661.393299999996000,141,98,126° 21' 58.356"" E,33° 28' 15.395"" N
,4070013200,101,자운당,0, ,korea,5, ,407,OEXT4070013200, ,140323.471500000010000,97299.020499999999000,140,97,126° 21' 28.894"" E,33° 28' 3.482"" N
,4070012600,101,송당사거리,0, ,korea,5, ,407,OEXT4070012600, ,179229.196300000010000,97513.257199999993000,179,98,126° 46' 35.567"" E,33° 28' 15.695"" N
,4080023400,101,송내교차로,0, ,korea,5, ,408,OEXT4080023400, ,190964.187199999990000,97422.595600000001000,191,97,126° 54' 10.054"" E,33° 28' 13.340"" N
,4070012200,101,애월입구,0, ,korea,5, ,407,OEXT4070012200, ,137728.741299999990000,96765.566699999996000,138,97,126° 19' 48.546"" E,33° 27' 45.636"" N
,4070011800,101,애월사거리,0, ,korea,5, ,407,OEXT4070011800, ,136836.665400000000000,96599.650399999999000,137,97,126° 19' 14.045"" E,33° 27' 40.063"" N
,4070011700,101,애월입구,0, ,korea,5, ,407,OEXT4070011700, ,135945.255500000000000,96347.095700000005000,136,96,126° 18' 39.593"" E,33° 27' 31.676"" N
,4080023200,101,오조한도교입구,0, ,korea,5, ,408,OEXT4080023200, ,191504.623900000010000,96861.550900000002000,192,97,126° 54' 31.004"" E,33° 27' 55.145"" N
,4080023000,101,오조교차로,0, ,korea,5, ,408,OEXT4080023000, ,191692.407100000010000,96377.114199999996000,192,96,126° 54' 38.292"" E,33° 27' 39.427"" N
,4070010000,101,곽지사거리,0, ,korea,5, ,407,OEXT4070010000, ,135577.119100000010000,95139.509800000000000,136,95,126° 18' 25.650"" E,33° 26' 52.404"" N
,4070009400,101,귀덕사거리,0, ,korea,5, ,407,OEXT4070009400, ,134495.853600000000000,94724.554000000004000,134,95,126° 17' 43.897"" E,33° 26' 38.700"" N
,4070009200,101,귀덕1리,0, ,korea,5, ,407,OEXT4070009200, ,133953.733299999990000,94503.167100000006000,134,95,126° 17' 22.968"" E,33° 26' 31.395"" N
,4080022500,101,고성교차로,0, ,korea,5, ,408,OEXT4080022500, ,191871.676600000010000,94849.780599999998000,192,95,126° 54' 45.284"" E,33° 26' 49.858"" N
,4080022300,101,성산교차로,0, ,korea,5, ,408,OEXT4080022300, ,191905.689900000000000,94510.148300000001000,192,95,126° 54' 46.612"" E,33° 26' 38.835"" N
,4070008300,101,용운삼거리,0, ,korea,5, ,407,OEXT4070008300, ,132711.767400000010000,93486.831200000001000,133,93,126° 16' 35.161"" E,33° 25' 58.132"" N
,4080021900,101,신양교차로,0, ,korea,5, ,408,OEXT4080021900, ,191598.822300000000000,93480.369699999996000,192,93,126° 54' 34.766"" E,33° 26' 5.402"" N
