FID_,LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
,4060080700,4060037900,4060039700,0,1.000000000000000,107,태양1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1971,TEMP1970,161.808538118999990
,4060080800,4060039700,4060037900,0,1.000000000000000,107,태양1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1970,TEMP1971,188.954498446999990
,4060080900,4060039700,4060037200,0,1.000000000000000,107,태양1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1970,TEMP1982,163.811130034000000
,4060081000,4060037200,4060039700,0,1.000000000000000,107,태양1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1982,TEMP1970,185.611248597000010
,4060081100,4060040300,4060038200,0,1.000000000000000,107,희망1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1976,TEMP1975,161.678632840000010
,4060081200,4060038200,4060040300,0,1.000000000000000,107,희망1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1975,TEMP1976,135.007363236999990
,4060081300,4060039900,4060041000,0,1.000000000000000,107,동홍새싹길,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000,어린이보호구역 시/종점, ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1977,TEMP1978,154.649946822999990
,4060081400,4060041000,4060039900,0,1.000000000000000,107,동홍새싹길,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000,어린이보호구역 시/종점, ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1978,TEMP1977,174.011922422000000
,4060081500,4060040200,4060037100,0,1.000000000000000,107,중추3로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000,어린이보호구역 시/종점, ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1985,TEMP1984,126.775884439000000
,4060081600,4060037100,4060040200,0,1.000000000000000,107,중추3로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000,어린이보호구역 시/종점, ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1984,TEMP1985,128.828035542000010
,4060081700,4060037000,4060038800,0,1.000000000000000,107,동광1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1983,TEMP1987,165.616507915999990
,4060081800,4060038800,4060037000,0,1.000000000000000,107,동광1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1987,TEMP1983,192.287529070000010
,4060081900,4060038800,4060038700,0,1.000000000000000,107,동광1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1987,TEMP1991,96.129449069800003
,4060087600,4060038700,4060038800,0,1.000000000000000,107,동광1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1991,TEMP1987,93.206321252899997
,4060087700,4060036900,4060034700,0,1.000000000000000,107,동광3로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1993,TEMP1990,87.362334025899997
,4060087800,4060034700,4060036900,0,1.000000000000000,107,동광3로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1990,TEMP1993,102.354647662000000
,4060087900,4060038700,4060034700,0,1.000000000000000,107,동광1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1991,TEMP1990,98.168599141900003
,4060088000,4060034700,4060038700,0,1.000000000000000,107,동광1로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1990,TEMP1991,106.481158921000000
,4060088100,4060038700,4060036900,0,1.000000000000000,107,동광3로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1991,TEMP1993,106.520967015000000
,4060088200,4060036900,4060038700,0,1.000000000000000,107,동광3로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1993,TEMP1991,125.826556847000010
,4060088300,4060039800,4060038700,0,1.000000000000000,107,-,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1992,TEMP1991,43.881264116600001
,4060088400,4060038700,4060039800,0,1.000000000000000,107,-,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1991,TEMP1992,41.633022765200003
,4060088500,4060003100,4060027200,0,1.000000000000000,107,삼성여고로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, , ,TEMP1996,498.338658282999970
,4060088600,4060027200,4060003100,0,1.000000000000000,107,삼성여고로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1996, ,494.331259203999990
,4060088700,4060018500,4060014900,0,1.000000000000000,107,보목연대로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1999,TEMP1998,455.200018375000010
,4060088800,4060014900,4060018500,0,1.000000000000000,107,보목연대로,0,000,30.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP1998,TEMP1999,460.529627183999990
,4060088900,4060015000,4060018500,0,1.000000000000000,107,보목로,0,000,50.000000000000000,0,0.000000000000000,0.000000000000000, , ,5,49000,406,000,-,NTIC_0611_S, ,TEMP2001,TEMP1999,1042.527600790000000
