"","FID_","LINK_ID","F_NODE","T_NODE","ROAD_USE","LANES","ROAD_RANK","ROAD_NAME","MULTI_LINK","CONNECT","MAX_SPD","REST_VEH","REST_W","REST_H","REMARK","USER_ID","WORKSTATE","DEPT_CODE","STNL_REG","ROAD_TYPE","ROAD_NO","TMPID","UPLOAD_ID","SOSFNODEID","SOSTNODEID","SHAPE_STLe"
"67",NA,4070068200,4070057000,4070057100,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP809","TEMP808",111.94785452
"68",NA,4070068300,4070057100,4070057000,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP808","TEMP809",111.947652474
"69",NA,4070068400,4070058500,4070058700,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP820","TEMP815",119.288995755
"70",NA,4070068500,4070058700,4070058500,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP815","TEMP820",119.289193924
"71",NA,4070068600,4070058400,4070058500,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP817","TEMP820",50.8026082559
"72",NA,4070068700,4070058500,4070058400,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP820","TEMP817",50.8027100381
"73",NA,4070068800,4070058600,4070058400,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP816","TEMP817",162.460955362
"74",NA,4070068900,4070058400,4070058600,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP817","TEMP816",162.461055362
"75",NA,4070069000,4070057700,4070057600,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP56","TEMP806",174.689785153
"76",NA,4070069100,4070048800,4070013800,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0609","","TEMP611","",66.7718546277
"77",NA,4070069200,4070013800,4070048800,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,407,0,"-","NTIC_0611_S","","","TEMP611",66.7718641264
"78",NA,4070069300,4070034900,4070008109,0,1,107,"-",0,0,50,0,0,0,"신규도로","",5,49000,407,0,"-","NTIC_0609","","TEMP13","",363.613615256
"79",NA,4080060500,4080106100,4080020400,0,1,106,"지방도1119호선",0,0,60,0,0,0,"","",5,49000,408,0,"1119","NTIC_0609","","TEMP92","",296.101104626
"80",NA,4080060600,4080020400,4080106100,0,1,106,"지방도1119호선",0,0,60,0,0,0,"","",5,49000,408,0,"1119","NTIC_0611_S","","","TEMP92",296.101016325
"81",NA,4080137600,4080020600,4080106100,0,1,106,"지방도1119호선",0,0,60,0,0,0,"","",5,49000,408,0,"1119","NTIC_0611_S","","","TEMP92",68.2652272115
"82",NA,4080137700,4080106100,4080020600,0,1,106,"지방도1119호선",0,0,60,0,0,0,"","",5,49000,408,0,"1119","NTIC_0609","","TEMP92","",68.2650036205
"83",NA,4080137800,4080106100,4080106400,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP92","TEMP89",41.373675597
"84",NA,4080137900,4080106400,4080106100,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP89","TEMP92",41.3735426405
"85",NA,4080138000,4080106400,4080106500,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP89","TEMP87",34.7952774824
"86",NA,4080138100,4080106500,4080106400,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP87","TEMP89",34.7953198675
"87",NA,4080138200,4080106300,4080106400,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","0621Y_T","","TEMP88","TEMP87",59.78201169
"88",NA,4080138300,4080106400,4080106300,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","0621Y_F","","TEMP87","TEMP88",60.4135607877
"89",NA,4080138400,4080106200,4080106300,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP90","TEMP88",17.2237955934
